ConflictId,Year,ISO-3166-1,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,IntensityLevel,CumulativeIntensity,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version,
1-50,1974,ARG,Argentina,Government of Argentina,,ERP,1599,,2,,1,0,3,1955-06-16,1,1974-08-11,2,0,,,160,,,,160,5,4.0-2015,
1-64,1974,MYS,Malaysia,Government of Malaysia,,CPM,1038,,2,,1,0,3,1957-12-31,5,1974-01-15,2,0,,,820,,,,820,3,4.0-2015,
1-66,1974,AGO,Angola,Government of Portugal,,"FNLA, MPLA","1420, 1250",,1,Angola,1,1,1,1961-02-04,1,1961-02-04,1,1,1974-10-21,1,235,,,,540,4,4.0-2015,
1-78,1974,ETH,Ethiopia,Government of Ethiopia,,ELF  ,1260,,1,Eritrea,1,0,3,1961-09-30,3,1964-03-15,1,0,,,530,,,,530,4,4.0-2015,
1-74,1974,IRQ,Iraq,Government of Iraq,,KDP,1102,,1,Kurdistan,2,1,3,1961-12-31,3,1973-07-31,3,0,,,645,,,,645,2,4.0-2015,
1-88,1974,MOZ,Mozambique,Government of Portugal,,Frelimo,1274,,1,Mozambique,1,1,1,1964-11-19,1,1964-11-19,1,1,1974-09-07,1,235,,,,541,4,4.0-2015,
1-92,1974,COL,Colombia,Government of Colombia,,FARC,1604,,2,,1,0,3,1964-12-31,5,1964-12-31,5,0,,,100,,,,100,5,4.0-2015,
1-96,1974,VNM,"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,,Government of Vietnam (North Vietnam),816,Government of North Korea,1,South Vietnam,2,1,2,1965-12-31,5,1965-12-31,5,0,,,817,,816,731,"816, 817",3,4.0-2015,
1-122,1974,ZWE,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,"ZANU, ZAPU","1341, 1340",,2,,1,0,3,1966-04-29,1,1973-04-04,1,0,,,552,,,,552,4,4.0-2015,
1-101,1974,ZAF,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1,0,3,1966-08-26,1,1966-12-31,5,0,,,560,,,,560,4,4.0-2015,
1-103,1974,KHM,Cambodia (Kampuchea),Government of Cambodia (Kampuchea),,KR,1112,Government of Vietnam (North Vietnam),2,,2,1,4,1967-04-30,3,1967-05-31,3,0,,,811,,,816,811,3,4.0-2015,
1-121,1974,OMN,Oman,Government of Oman,"Government of Iran, Government of United Kingdom",PFLO,1126,Government of South Yemen,2,,1,0,4,1968-10-31,3,1969-12-31,5,0,,,698,"630, 200",,680,698,2,4.0-2015,
1-119,1974,GBR,United Kingdom,Government of United Kingdom,,PIRA,1124,,1,Northern Ireland,1,0,3,1970-08-11,1,1971-08-31,3,0,,,200,,,,200,1,4.0-2015,
1-112,1974,PHL,Philippines,Government of Philippines,,MNLF,1117,,1,Mindanao,1,1,3,1970-08-20,1,1970-08-20,1,0,,,840,,,,840,3,4.0-2015,
1-118,1974,UGA,Uganda,Government of Uganda,,Military faction (forces of Charles Arube),1324,,2,,1,0,3,1971-01-25,1,1974-03-23,1,1,1974-03-23,1,500,,,,500,4,4.0-2015,
1-128,1974,,"Iran, Iraq",Government of Iran,,Government of Iraq,645,,3,Various,1,0,2,1972-04-11,1,1974-02-10,1,1,1974-12-31,5,630,,645,,"630, 645",2,4.0-2015,
1-265,1974,MMR,Myanmar (Burma),Government of Myanmar (Burma),,LNUP,1756,,1,Lahu,1,0,3,1973-01-11,2,1973-02-28,4,0,,,775,,,,775,3,4.0-2015,
1-129,1974,PAK,Pakistan,Government of Pakistan,,BLF,2053,,1,Balochistan,2,1,3,1973-05-18,1,1974-12-31,5,0,,,770,,,,770,3,4.0-2015,
1-138,1974,,"China, Vietnam (North Vietnam)",Government of China,,Government of Vietnam (North Vietnam),816,,1,Various,1,0,2,1974-01-19,1,1974-01-20,2,1,1974-12-31,5,710,,816,,"710, 816",3,4.0-2015,
1-127,1974,,"Cyprus, Turkey",Government of Cyprus,,Government of Turkey,640,,1,Northern Cyprus,2,1,2,1974-06-20,2,1974-06-20,2,1,1974-08-16,1,352,,640,,"352, 640","1, 2",4.0-2015,
1-10,1975,PHL,Philippines,Government of Philippines,,CPP,1010,,2,,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,4.0-2015,
1-25,1975,MMR,Myanmar (Burma),Government of Myanmar (Burma),,RPF,1952,,1,Arakan,1,0,3,1948-01-31,4,1964-12-31,5,0,,,775,,,,775,3,4.0-2015,
1-24,1975,MMR,Myanmar (Burma),Government of Myanmar (Burma),,CPB,1023,,2,,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,4.0-2015,
1-37,1975,ISR,Israel,Government of Israel,,"PLO, Rejectionist Front","1046, 1951",,1,Palestine,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,4.0-2015,
1-23,1975,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"KNU, KNUP","1021, 1757",,1,Karen,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,4.0-2015,
1-36,1975,GTM,Guatemala,Government of Guatemala,,"EGP, FAR II","1591, 1590",,2,,1,1,3,1949-07-18,1,1965-12-31,5,0,,,90,,,,90,5,4.0-2015,
1-34,1975,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,1,1,3,1949-12-31,6,1961-02-28,4,0,,,775,,,,775,3,4.0-2015,
1-43,1975,THA,Thailand,Government of Thailand,,CPT,1058,,2,,1,1,3,1951-06-30,1,1974-10-31,4,0,,,800,,,,800,3,4.0-2015,
1-50,1975,ARG,Argentina,Government of Argentina,,"ERP, Montoneros","1599, 1600",,2,,1,0,3,1955-06-16,1,1974-08-11,2,0,,,160,,,,160,5,4.0-2015,
1-64,1975,MYS,Malaysia,Government of Malaysia,,CPM,1038,,2,,1,0,3,1957-12-31,5,1974-01-15,2,1,1975-12-31,5,820,,,,820,3,4.0-2015,
1-63,1975,LBN,Lebanon,Government of Lebanon,,NSF,1079,,2,,1,1,3,1958-05-15,2,1975-09-09,2,0,,,660,,,,660,2,4.0-2015,
1-78,1975,ETH,Ethiopia,Government of Ethiopia,,"ELF, EPLF","1260, 1261",,1,Eritrea,2,1,3,1961-09-30,3,1964-03-15,1,0,,,530,,,,530,4,4.0-2015,
1-74,1975,IRQ,Iraq,Government of Iraq,,KDP,1102,,1,Kurdistan,2,1,3,1961-12-31,3,1973-07-31,3,0,,,645,,,,645,2,4.0-2015,
1-92,1975,COL,Colombia,Government of Colombia,,FARC,1604,,2,,1,0,3,1964-12-31,5,1964-12-31,5,0,,,100,,,,100,5,4.0-2015,
1-96,1975,VNM,"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,,Government of Vietnam (North Vietnam),816,Government of North Korea,1,South Vietnam,2,1,2,1965-12-31,5,1965-12-31,5,1,1975-04-30,1,817,,816,731,"816, 817",3,4.0-2015,
1-122,1975,ZWE,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),Government of South Africa,ZANU,1341,,2,,1,0,4,1966-04-29,1,1973-04-04,1,0,,,552,560,,,552,4,4.0-2015,
1-101,1975,ZAF,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1,0,3,1966-08-26,1,1966-12-31,5,0,,,560,,,,560,4,4.0-2015,
1-103,1975,KHM,Cambodia (Kampuchea),Government of Cambodia (Kampuchea),,KR,1112,Government of Vietnam (North Vietnam),2,,2,1,4,1967-04-30,3,1967-05-31,3,1,1975-04-17,1,811,,,816,811,3,4.0-2015,
1-121,1975,OMN,Oman,Government of Oman,"Government of Iran, Government of Jordan, Government of United Kingdom",PFLO,1126,Government of South Yemen,2,,1,0,4,1968-10-31,3,1969-12-31,5,1,1975-12-11,2,698,"630, 663, 200",,680,698,2,4.0-2015,
1-119,1975,GBR,United Kingdom,Government of United Kingdom,,PIRA,1124,,1,Northern Ireland,1,0,3,1970-08-11,1,1971-08-31,3,0,,,200,,,,200,1,4.0-2015,
1-112,1975,PHL,Philippines,Government of Philippines,,MNLF,1117,,1,Mindanao,1,1,3,1970-08-20,1,1970-08-20,1,0,,,840,,,,840,3,4.0-2015,
1-265,1975,MMR,Myanmar (Burma),Government of Myanmar (Burma),,LNUP,1756,,1,Lahu,1,0,3,1973-01-11,2,1973-02-28,4,0,,,775,,,,775,3,4.0-2015,
1-129,1975,PAK,Pakistan,Government of Pakistan,,BLF,2053,,1,Balochistan,1,1,3,1973-05-18,1,1974-12-31,5,0,,,770,,,,770,3,4.0-2015,
1-126,1975,BGD,Bangladesh,Government of Bangladesh,,JSS/SB,1127,,1,Chittagong Hill Tracts,1,0,3,1975-02-28,4,1975-02-28,4,0,,,771,,,,771,3,4.0-2015,
1-132,1975,,"Cambodia (Kampuchea), Vietnam (North Vietnam)",Government of Cambodia (Kampuchea),,Government of Vietnam (North Vietnam),816,,1,Common Border,1,0,2,1975-05-01,1,1975-12-31,5,0,,,811,,816,,"811, 816",3,4.0-2015,
1-168,1975,ETH,Ethiopia,Government of Ethiopia,,ALF,1371,,1,Afar,1,0,3,1975-06-30,3,1975-06-30,3,0,,,530,,,,530,4,4.0-2015,
1-135,1975,MAR,Morocco,Government of Morocco,,POLISARIO,1417,,1,Western Sahara,1,0,3,1975-09-01,1,1975-11-04,1,0,,,600,,,,600,4,4.0-2015,
1-131,1975,AGO,Angola,Government of Angola,Government of Cuba,"FNLA, UNITA","1420, 1421","Government of DR Congo (Zaire) , Government of South Africa",2,,2,1,4,1975-11-11,1,1975-11-11,1,0,,,540,40,,"560, 490",540,4,4.0-2015,
1-134,1975,IDN,Indonesia,Government of Indonesia,,Fretilin,1132,,1,East Timor,2,1,3,1975-12-07,1,1975-12-07,1,0,,,850,,,,850,3,4.0-2015,
1-253,1975,MRT,Mauritania,Government of Mauritania,,POLISARIO,1417,,1,Western Sahara,1,0,3,1975-12-10,1,1975-12-19,2,0,,,435,,,,435,4,4.0-2015,
1-10,1976,PHL,Philippines,Government of Philippines,,CPP,1010,,2,,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,4.0-2015,
1-25,1976,MMR,Myanmar (Burma),Government of Myanmar (Burma),,RPF,1952,,1,Arakan,1,0,3,1948-01-31,4,1964-12-31,5,0,,,775,,,,775,3,4.0-2015,
1-24,1976,MMR,Myanmar (Burma),Government of Myanmar (Burma),,CPB,1023,,2,,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,4.0-2015,
1-37,1976,ISR,Israel,Government of Israel,,"PLO, Rejectionist Front","1046, 1951",,1,Palestine,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,4.0-2015,
1-23,1976,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,4.0-2015,
1-36,1976,GTM,Guatemala,Government of Guatemala,,"EGP, FAR II","1591, 1590",,2,,1,1,3,1949-07-18,1,1965-12-31,5,0,,,90,,,,90,5,4.0-2015,
1-34,1976,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,1,1,3,1949-12-31,6,1961-02-28,4,0,,,775,,,,775,3,4.0-2015,
1-43,1976,THA,Thailand,Government of Thailand,,CPT,1058,,2,,1,1,3,1951-06-30,1,1974-10-31,4,0,,,800,,,,800,3,4.0-2015,
1-50,1976,ARG,Argentina,Government of Argentina,,"ERP, Montoneros","1599, 1600",,2,,1,1,3,1955-06-16,1,1974-08-11,2,0,,,160,,,,160,5,4.0-2015,
1-63,1976,LBN,Lebanon,Government of Lebanon,,"LAA, NSF","1080, 1079",,2,,2,1,3,1958-05-15,2,1975-09-09,2,1,1976-10-21,1,660,,,,660,2,4.0-2015,
1-67,1976,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"SSRA, SURA","1095, 1094",,1,Shan,1,1,3,1959-11-22,1,1976-08-31,4,0,,,775,,,,775,3,4.0-2015,
1-70,1976,ETH,Ethiopia,Government of Ethiopia,,"EPRP, TPLF","1254, 1255",,2,,2,1,3,1960-12-17,2,1976-06-02,2,0,,,530,,,,530,4,4.0-2015,
1-78,1976,ETH,Ethiopia,Government of Ethiopia,,"ELF, EPLF","1260, 1261",,1,Eritrea,2,1,3,1961-09-30,3,1964-03-15,1,0,,,530,,,,530,4,4.0-2015,
1-74,1976,IRQ,Iraq,Government of Iraq,,PUK,1103,,1,Kurdistan,1,1,3,1961-12-31,3,1973-07-31,3,0,,,645,,,,645,2,4.0-2015,
1-133,1976,ETH,Ethiopia,Government of Ethiopia,,WSLF,1345,,1,Ogaden,1,0,3,1964-01-11,2,1976-10-31,3,0,,,530,,,,530,4,4.0-2015,
1-92,1976,COL,Colombia,Government of Colombia,,FARC,1604,,2,,1,0,3,1964-12-31,5,1964-12-31,5,0,,,100,,,,100,5,4.0-2015,
1-94,1976,IDN,Indonesia,Government of Indonesia,,OPM,1108,,1,West Papua,2,1,3,1965-07-28,1,1976-12-31,5,0,,,850,,,,850,3,4.0-2015,
1-122,1976,ZWE,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,"PF, ZANU","1342, 1341",,2,,2,1,3,1966-04-29,1,1973-04-04,1,0,,,552,,,,552,4,4.0-2015,
1-91,1976,TCD,Chad,Government of Chad,,FAN,1284,,2,,1,1,3,1966-07-31,4,1976-02-18,1,0,,,483,,,,483,4,4.0-2015,
1-101,1976,ZAF,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1,0,3,1966-08-26,1,1966-12-31,5,0,,,560,,,,560,4,4.0-2015,
1-119,1976,GBR,United Kingdom,Government of United Kingdom,,PIRA,1124,,1,Northern Ireland,1,0,3,1970-08-11,1,1971-08-31,3,0,,,200,,,,200,1,4.0-2015,
1-112,1976,PHL,Philippines,Government of Philippines,,MNLF,1117,,1,Mindanao,1,1,3,1970-08-20,1,1970-08-20,1,0,,,840,,,,840,3,4.0-2015,
1-113,1976,SDN,Sudan,Government of Sudan,,Islamic Charter Front,1311,,2,,1,0,3,1971-07-22,1,1976-07-02,1,1,1976-07-02,1,625,,,,625,4,4.0-2015,
1-265,1976,MMR,Myanmar (Burma),Government of Myanmar (Burma),,LNUP,1756,,1,Lahu,1,0,3,1973-01-11,2,1973-02-28,4,0,,,775,,,,775,3,4.0-2015,
1-129,1976,PAK,Pakistan,Government of Pakistan,,BLF,2053,,1,Balochistan,1,1,3,1973-05-18,1,1974-12-31,5,0,,,770,,,,770,3,4.0-2015,
1-126,1976,BGD,Bangladesh,Government of Bangladesh,,JSS/SB,1127,,1,Chittagong Hill Tracts,1,0,3,1975-02-28,4,1975-02-28,4,0,,,771,,,,771,3,4.0-2015,
1-132,1976,,"Cambodia (Kampuchea), Vietnam (North Vietnam)",Government of Cambodia (Kampuchea),,Government of Vietnam (North Vietnam),816,,1,Common Border,1,0,2,1975-05-01,1,1975-12-31,5,0,,,811,,816,,"811, 816",3,4.0-2015,
1-168,1976,ETH,Ethiopia,Government of Ethiopia,,ALF,1371,,1,Afar,1,0,3,1975-06-30,3,1975-06-30,3,1,1976-12-31,5,530,,,,530,4,4.0-2015,
1-135,1976,MAR,Morocco,Government of Morocco,,POLISARIO,1417,Government of Algeria,1,Western Sahara,1,0,4,1975-09-01,1,1975-11-04,1,0,,,600,,,615,600,4,4.0-2015,
1-131,1976,AGO,Angola,Government of Angola,Government of Cuba,"FNLA, UNITA","1420, 1421",Government of South Africa,2,,2,1,4,1975-11-11,1,1975-11-11,1,0,,,540,40,,560,540,4,4.0-2015,
1-134,1976,IDN,Indonesia,Government of Indonesia,,Fretilin,1132,,1,East Timor,2,1,3,1975-12-07,1,1975-12-07,1,0,,,850,,,,850,3,4.0-2015,
1-253,1976,MRT,Mauritania,Government of Mauritania,,POLISARIO,1417,,1,Western Sahara,1,0,3,1975-12-10,1,1975-12-19,2,0,,,435,,,,435,4,4.0-2015,
1-10,1977,PHL,Philippines,Government of Philippines,,CPP,1010,,2,,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,4.0-2015,
1-25,1977,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"ALP, RPF","1932, 1952",,1,Arakan,1,0,3,1948-01-31,4,1964-12-31,5,0,,,775,,,,775,3,4.0-2015,
1-24,1977,MMR,Myanmar (Burma),Government of Myanmar (Burma),,CPB,1023,,2,,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,4.0-2015,
1-37,1977,ISR,Israel,Government of Israel,,"PLO, Rejectionist Front","1046, 1951",,1,Palestine,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,4.0-2015,
1-23,1977,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,4.0-2015,
1-36,1977,GTM,Guatemala,Government of Guatemala,,"EGP, FAR II","1591, 1590",,2,,1,1,3,1949-07-18,1,1965-12-31,5,0,,,90,,,,90,5,4.0-2015,
1-34,1977,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,1,1,3,1949-12-31,6,1961-02-28,4,0,,,775,,,,775,3,4.0-2015,
1-43,1977,THA,Thailand,Government of Thailand,,CPT,1058,,2,,1,1,3,1951-06-30,1,1974-10-31,4,0,,,800,,,,800,3,4.0-2015,
1-50,1977,ARG,Argentina,Government of Argentina,,"ERP, Montoneros","1599, 1600",,2,,1,1,3,1955-06-16,1,1974-08-11,2,1,1977-12-31,5,160,,,,160,5,4.0-2015,
1-67,1977,MMR,Myanmar (Burma),Government of Myanmar (Burma),,SURA,1094,,1,Shan,1,1,3,1959-11-22,1,1976-08-31,4,0,,,775,,,,775,3,4.0-2015,
1-70,1977,ETH,Ethiopia,Government of Ethiopia,,"EDU, EPRP","1256, 1254",,2,,1,1,3,1960-12-17,2,1976-06-02,2,0,,,530,,,,530,4,4.0-2015,
1-78,1977,ETH,Ethiopia,Government of Ethiopia,Government of South Yemen,"ELF, EPLF","1260, 1261",,1,Eritrea,2,1,4,1961-09-30,3,1964-03-15,1,0,,,530,680,,,530,4,4.0-2015,
1-74,1977,IRQ,Iraq,Government of Iraq,,"KDP-QM, PUK","1104, 1103",,1,Kurdistan,1,1,3,1961-12-31,3,1973-07-31,3,0,,,645,,,,645,2,4.0-2015,
1-133,1977,ETH,Ethiopia,Government of Ethiopia,"Government of Cuba, Government of South Yemen",WSLF,1345,Government of Somalia,1,Ogaden,2,1,4,1964-01-11,2,1976-10-31,3,0,,,530,"40, 680",,520,530,4,4.0-2015,
1-86,1977,COD,DR Congo (Zaire),Government of DR Congo (Zaire) ,"Government of Morocco, Government of Uganda",FLNC,1267,,2,,1,1,4,1964-01-18,1,1977-04-30,3,0,,,490,"600, 500",,,490,4,4.0-2015,
1-71,1977,,"Ethiopia, Somalia",Government of Ethiopia,"Government of Cuba, Government of South Yemen",Government of Somalia,520,,1,Ogaden,2,1,2,1964-02-10,2,1977-07-13,1,0,,,530,"40, 680",520,,"520, 530",4,4.0-2015,
1-92,1977,COL,Colombia,Government of Colombia,,FARC,1604,,2,,1,0,3,1964-12-31,5,1964-12-31,5,0,,,100,,,,100,5,4.0-2015,
1-94,1977,IDN,Indonesia,Government of Indonesia,,OPM,1108,,1,West Papua,2,1,3,1965-07-28,1,1976-12-31,5,0,,,850,,,,850,3,4.0-2015,
1-122,1977,ZWE,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,PF,1342,,2,,2,1,3,1966-04-29,1,1973-04-04,1,0,,,552,,,,552,4,4.0-2015,
1-91,1977,TCD,Chad,Government of Chad,,"FAN, FAP","1284, 1285",,2,,1,1,3,1966-07-31,4,1976-02-18,1,0,,,483,,,,483,4,4.0-2015,
1-101,1977,ZAF,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1,0,3,1966-08-26,1,1966-12-31,5,0,,,560,,,,560,4,4.0-2015,
1-119,1977,GBR,United Kingdom,Government of United Kingdom,,PIRA,1124,,1,Northern Ireland,1,0,3,1970-08-11,1,1971-08-31,3,0,,,200,,,,200,1,4.0-2015,
1-112,1977,PHL,Philippines,Government of Philippines,,MNLF,1117,,1,Mindanao,1,1,3,1970-08-20,1,1970-08-20,1,0,,,840,,,,840,3,4.0-2015,
1-265,1977,MMR,Myanmar (Burma),Government of Myanmar (Burma),,LNUP,1756,,1,Lahu,1,0,3,1973-01-11,2,1973-02-28,4,0,,,775,,,,775,3,4.0-2015,
1-129,1977,PAK,Pakistan,Government of Pakistan,,BLF,2053,,1,Balochistan,1,1,3,1973-05-18,1,1974-12-31,5,1,1977-07-05,1,770,,,,770,3,4.0-2015,
1-219,1977,ETH,Ethiopia,Government of Ethiopia,,OLF,1404,,1,Oromiya,1,0,3,1974-08-31,4,1977-12-31,5,0,,,530,,,,530,4,4.0-2015,
1-140,1977,NIC,Nicaragua,Government of Nicaragua,,FSLN,1619,,2,,1,0,3,1974-12-27,2,1977-10-10,1,0,,,93,,,,93,5,4.0-2015,
1-126,1977,BGD,Bangladesh,Government of Bangladesh,,JSS/SB,1127,,1,Chittagong Hill Tracts,1,0,3,1975-02-28,4,1975-02-28,4,0,,,771,,,,771,3,4.0-2015,
1-132,1977,,"Cambodia (Kampuchea), Vietnam (North Vietnam)",Government of Cambodia (Kampuchea),,Government of Vietnam (North Vietnam),816,,1,Common Border,1,0,2,1975-05-01,1,1975-12-31,5,1,1977-12-31,5,811,,816,,"811, 816",3,4.0-2015,
1-135,1977,MAR,Morocco,Government of Morocco,,POLISARIO,1417,,1,Western Sahara,1,0,3,1975-09-01,1,1975-11-04,1,0,,,600,,,,600,4,4.0-2015,
1-131,1977,AGO,Angola,Government of Angola,Government of Cuba,"FNLA, UNITA","1420, 1421",,2,,2,1,4,1975-11-11,1,1975-11-11,1,0,,,540,40,,,540,4,4.0-2015,
1-134,1977,IDN,Indonesia,Government of Indonesia,,Fretilin,1132,,1,East Timor,2,1,3,1975-12-07,1,1975-12-07,1,0,,,850,,,,850,3,4.0-2015,
1-253,1977,MRT,Mauritania,Government of Mauritania,,POLISARIO,1417,,1,Western Sahara,1,1,3,1975-12-10,1,1975-12-19,2,0,,,435,,,,435,4,4.0-2015,
1-97,1977,,"Cambodia (Kampuchea), Thailand",Government of Cambodia (Kampuchea),,Government of Thailand,800,,1,Common Border,1,0,2,1975-12-15,2,1977-12-31,5,0,,,811,,800,,"800, 811",3,4.0-2015,
1-136,1977,MOZ,Mozambique,Government of Mozambique,,Renamo,1347,,2,,1,0,3,1977-12-31,6,1977-12-31,6,0,,,541,,,,541,4,4.0-2015,
1-261,1977,ETH,Ethiopia,Government of Ethiopia,,SALF,1938,,1,"Arssi, Bale & Sidamo",1,0,3,1977-12-31,5,1977-12-31,5,0,,,530,,,,530,4,4.0-2015,
1-10,1978,PHL,Philippines,Government of Philippines,,CPP,1010,,2,,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,4.0-2015,
1-25,1978,MMR,Myanmar (Burma),Government of Myanmar (Burma),,RPF,1952,,1,Arakan,1,0,3,1948-01-31,4,1964-12-31,5,1,1978-12-31,5,775,,,,775,3,4.0-2015,
1-24,1978,MMR,Myanmar (Burma),Government of Myanmar (Burma),,CPB,1023,,2,,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,4.0-2015,
1-37,1978,ISR,Israel,Government of Israel,,"PLO, Rejectionist Front","1046, 1951",,1,Palestine,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,4.0-2015,
1-23,1978,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,4.0-2015,
1-36,1978,GTM,Guatemala,Government of Guatemala,,"EGP, FAR II","1591, 1590",,2,,1,1,3,1949-07-18,1,1965-12-31,5,0,,,90,,,,90,5,4.0-2015,
1-34,1978,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,1,1,3,1949-12-31,6,1961-02-28,4,0,,,775,,,,775,3,4.0-2015,
1-43,1978,THA,Thailand,Government of Thailand,,CPT,1058,,2,,1,1,3,1951-06-30,1,1974-10-31,4,0,,,800,,,,800,3,4.0-2015,
1-67,1978,MMR,Myanmar (Burma),Government of Myanmar (Burma),,SURA,1094,,1,Shan,1,1,3,1959-11-22,1,1976-08-31,4,0,,,775,,,,775,3,4.0-2015,
1-70,1978,ETH,Ethiopia,Government of Ethiopia,,"EDU, TPLF","1256, 1255",,2,,1,1,3,1960-12-17,2,1976-06-02,2,0,,,530,,,,530,4,4.0-2015,
1-78,1978,ETH,Ethiopia,Government of Ethiopia,Government of South Yemen,"ELF, EPLF","1260, 1261",,1,Eritrea,2,1,4,1961-09-30,3,1964-03-15,1,0,,,530,680,,,530,4,4.0-2015,
1-74,1978,IRQ,Iraq,Government of Iraq,,"KDP-QM, PUK","1104, 1103",,1,Kurdistan,1,1,3,1961-12-31,3,1973-07-31,3,0,,,645,,,,645,2,4.0-2015,
1-133,1978,ETH,Ethiopia,Government of Ethiopia,"Government of Cuba, Government of South Yemen",WSLF,1345,,1,Ogaden,2,1,4,1964-01-11,2,1976-10-31,3,0,,,530,"40, 680",,,530,4,4.0-2015,
1-86,1978,COD,DR Congo (Zaire),Government of DR Congo (Zaire) ,,FLNC,1267,,2,,1,1,3,1964-01-18,1,1977-04-30,3,1,1978-06-15,1,490,,,,490,4,4.0-2015,
1-71,1978,,"Ethiopia, Somalia",Government of Ethiopia,"Government of Cuba, Government of South Yemen",Government of Somalia,520,,1,Ogaden,2,1,2,1964-02-10,2,1977-07-13,1,1,1978-03-23,1,530,"40, 680",520,,"520, 530",4,4.0-2015,
1-92,1978,COL,Colombia,Government of Colombia,,"FARC, M-19","1604, 1606",,2,,1,0,3,1964-12-31,5,1964-12-31,5,0,,,100,,,,100,5,4.0-2015,
1-94,1978,IDN,Indonesia,Government of Indonesia,,OPM,1108,,1,West Papua,2,1,3,1965-07-28,1,1976-12-31,5,1,1978-12-31,5,850,,,,850,3,4.0-2015,
1-122,1978,ZWE,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,PF,1342,,2,,2,1,3,1966-04-29,1,1973-04-04,1,0,,,552,,,,552,4,4.0-2015,
1-91,1978,TCD,Chad,Government of Chad,Government of France,FAP,1285,,2,,2,1,4,1966-07-31,4,1976-02-18,1,0,,,483,220,,,483,4,4.0-2015,
1-101,1978,ZAF,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,2,1,3,1966-08-26,1,1966-12-31,5,0,,,560,,,,560,4,4.0-2015,
1-103,1978,KHM,Cambodia (Kampuchea),Government of Cambodia (Kampuchea),,KNUFNS,1113,Government of Vietnam (North Vietnam),2,,2,1,4,1967-04-30,3,1978-12-30,2,0,,,811,,,816,811,3,4.0-2015,
1-147,1978,ESP,Spain,Government of Spain,,ETA,1156,,1,Basque,1,0,3,1968-06-07,1,1978-10-22,1,0,,,230,,,,230,1,4.0-2015,
1-119,1978,GBR,United Kingdom,Government of United Kingdom,,PIRA,1124,,1,Northern Ireland,1,1,3,1970-08-11,1,1971-08-31,3,0,,,200,,,,200,1,4.0-2015,
1-112,1978,PHL,Philippines,Government of Philippines,,MNLF,1117,,1,Mindanao,2,1,3,1970-08-20,1,1970-08-20,1,0,,,840,,,,840,3,4.0-2015,
1-265,1978,MMR,Myanmar (Burma),Government of Myanmar (Burma),,LNUP,1756,,1,Lahu,1,0,3,1973-01-11,2,1973-02-28,4,0,,,775,,,,775,3,4.0-2015,
